% Model,WG_straight_副本.mph,,
% Version,COMSOL 6.2.0.339,,
% Date,"Sep 14 2025, 10:04",,
% Table,,,
% wg_width (um),sample_freq (1/s),neff (m^2),
0.8,2.18E+14,1.4449321471440029-2.690952467123942E-5i,1.34E-10
0.8,2.18E+14,1.4451601153063864-2.5162503458218634E-5i,1.63E-10
0.8,2.18E+14,1.51016765,5.23E-13
0.8,2.19E+14,1.4437946747443962-6.349174888598651E-5i,1.34E-10
0.8,2.19E+14,1.4437307368651036-5.8466445627700836E-5i,1.39E-10
0.8,2.19E+14,1.4443373888323499-5.240963689046226E-5i,1.34E-10
0.8,2.19E+14,1.4450142401263948-2.6536938271818643E-5i,1.34E-10
0.8,2.19E+14,1.4452415475212084-2.477035084661669E-5i,1.63E-10
0.8,2.19E+14,1.511416763,5.13E-13
0.8,2.20E+14,1.4438869598572046-6.26220844548391E-5i,1.34E-10
0.8,2.20E+14,1.4438256460664327-5.76244259765332E-5i,1.39E-10
0.8,2.20E+14,1.44442472790749-5.169208687067516E-5i,1.34E-10
0.8,2.20E+14,1.4450954659026582-2.6171095974761776E-5i,1.34E-10
0.8,2.20E+14,1.4453220826641087-2.438672441668931E-5i,1.63E-10
0.8,2.20E+14,1.512669954,5.03E-13
0.9,1.70E+14,1.4370811781617772-1.4224004043383732E-4i,1.31E-10
0.9,1.70E+14,1.4374576009416153-1.3675598262229247E-4i,1.34E-10
0.9,1.70E+14,1.4383618109664857-1.1289835510414135E-4i,1.34E-10
0.9,1.70E+14,1.4396811675161685-6.072164211430344E-5i,1.60E-10
0.9,1.70E+14,1.4394869298361195-5.723208048563646E-5i,1.34E-10
0.9,1.70E+14,1.4655685959169655-6.85439800059026E-11i,1.59E-12
0.9,1.71E+14,1.4372767212187492-1.3906216213562894E-4i,1.31E-10
0.9,1.71E+14,1.43763796968015-1.3434138649003405E-4i,1.34E-10
0.9,1.71E+14,1.438531542482069-1.1090490917188652E-4i,1.34E-10
0.9,1.71E+14,1.4398427064305837-5.936911964942211E-5i,1.60E-10
